Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a6443193-c59f-5ce8-0cec-473a4102b7ad,1993-04-19,,999-74-2018,S99991820,X52063799X,Mr.,Ernesto186,Jefferson174,Vandervort697,,,S,white,nonhispanic,M,Antioch  California  US,778 Renner Bypass Suite 78,Oakland,California,Alameda County,6001,94602,37.856570545721944,-122.26166252377999,91015.56,35577.05,532945
b802900b-f07a-93da-1030-2879a28e7c5c,1949-11-04,1954-06-15,999-85-7057,,,,Merissa718,Angila948,Maggio310,,,,asian,hispanic,F,Torrance  California  US,809 Schowalter Haven,Oakland,California,Alameda County,6001,94704,37.82416760209427,-122.2428464216046,14972.01,1490.06,367285
99ac1612-69db-5c4b-e834-99bbbe47eb1c,1984-01-04,,999-73-3731,S99990480,X72301428X,Mr.,Armando772,José Luis472,Saavedra625,,,M,black,hispanic,M,Carolina  Puerto Rico  PR,475 Deckow Flat Apt 53,Oakland,California,Alameda County,6001,94704,37.863005644708764,-122.2806224545268,50410.81,792780.85,28920
da40b3ad-f7b9-9aee-b47f-1fc94258cd12,2013-11-06,,999-74-9886,,,,Danny396,Heath320,Hermann103,,,,white,nonhispanic,M,Downey  California  US,508 Kub Pathway,Oakland,California,Alameda County,6001,94608,37.735081194270506,-122.18997461375024,36753.55,14020.58,67401
26f1be61-ddb1-5529-778c-6094a5d66759,2008-09-30,,999-88-3711,S99960859,,,Forrest301,Hobert364,Jast432,,,,asian,nonhispanic,M,Santa Clarita  California  US,251 Dach Gate Suite 21,Oakland,California,Alameda County,6001,94612,37.74896594422825,-122.20945551889382,68703.59,6401.92,164536
f0146acd-dfeb-7160-1c33-17a2f98dc9e9,2004-10-31,,999-61-4878,S99947131,X76572X,Mr.,Johnathon489,Jerald662,Schultz619,,,,black,nonhispanic,M,Redlands  California  US,1076 Haley Green,Oakland,California,Alameda County,6001,94605,37.72858793900411,-122.17657542997523,18645.98,100724.10,27194
cf4bd320-aa27-7e99-6800-f037cc8f2681,1971-04-24,,999-46-4037,S99937295,X68232916X,Mr.,Lindsey52,Eliseo499,Schmidt332,,,M,asian,nonhispanic,M,Sacramento  California  US,495 Davis Approach Suite 74,Oakland,California,Alameda County,6001,94606,37.83824482782778,-122.24003124445825,199866.03,73809.29,122382
01fdf525-c51b-0fba-b211-b0a6ae14815d,1969-07-05,,999-16-8764,S99919645,X8057017X,Mrs.,Jaime666,Nadine465,Hagenes547,,Ledner144,M,black,nonhispanic,F,San Francisco  California  US,332 Aufderhar Throughway,Oakland,California,Alameda County,6001,94606,37.79694455690757,-122.17111247553575,12900.68,486581.62,6031
4de5153d-59b0-554a-2615-2e50b0d87cb8,2021-05-02,,999-94-2269,,,,Marhta321,Kanisha187,Gorczany269,,,,white,nonhispanic,F,Roseville  California  US,160 Cremin Frontage road Apt 17,Oakland,California,Alameda County,6001,94607,37.81349003180018,-122.19204658891674,1050.00,21589.59,1160
5a1ef5ea-f0e1-5cf5-ae97-c311dd74935f,2001-10-29,,999-37-9578,S99923151,X40358184X,Ms.,Ophelia894,Stefani254,Rogahn59,,,,black,nonhispanic,F,Sacramento  California  US,263 Hamill Union,Oakland,California,Alameda County,6001,94602,37.665925435926994,-122.11886128040051,84582.97,252223.66,77812
15a19279-1177-01b8-9d60-ed1cdeff41af,1972-02-25,,999-72-6319,S99946472,X50808010X,Mr.,Winston220,,Jacobson885,,,M,black,nonhispanic,M,Santa Rosa  California  US,961 Mertz Approach Suite 93,Oakland,California,Alameda County,6001,94610,37.75269839603417,-122.24684715930277,180794.42,83866.36,108602
6d217971-01d6-44f8-036c-5b4151be10cc,1951-02-26,,999-58-3881,S99977997,X20466320X,Mr.,Charles364,Armando772,Marks830,,,M,white,nonhispanic,M,Campo  California  US,1067 Hahn Street Apt 62,Oakland,California,Alameda County,6001,94602,37.848707096732426,-122.21835743213758,168838.37,228984.00,893909
386adf89-f7dc-501f-5e72-ef2b7a23d962,1991-07-05,,999-10-1230,S99957254,X76220960X,Mrs.,Sha84,Rachelle804,Haley279,,Stanton715,M,asian,nonhispanic,F,San Francisco  California  US,1011 D'Amore Row,Oakland,California,Alameda County,6001,94603,37.746952527887224,-122.19325404764811,72009.84,1197659.60,44923
be0a64df-cd7a-7c46-8530-2d17b256c861,2015-04-22,,999-25-4100,,,,Jeff859,Julius90,Hintz995,,,,white,nonhispanic,M,Bell  California  US,470 Bartoletti Bay,Oakland,California,Alameda County,6001,94609,37.738326924203896,-122.14212772143073,18327.34,19986.31,74535
0438e223-9de5-7cb7-29f9-47969f6bbc3a,2000-01-08,,999-65-8395,S99954294,X1848244X,Mr.,Jamar151,Wallace647,VonRueden376,,,,asian,nonhispanic,M,Cantho  Cần Thơ  VN,876 Hamill Burg Suite 54,Oakland,California,Alameda County,6001,94611,37.819080035301084,-122.17644236606458,84776.26,118554.61,150244
2c0eb0f9-c222-c84a-4728-fa20e26f3361,1964-02-29,2018-09-06,999-84-9596,S99944417,X61712156X,Mrs.,Annetta101,Laurene370,Bahringer146,,Skiles927,M,white,nonhispanic,F,San Francisco  California  US,606 Shields Tunnel Unit 12,Oakland,California,Alameda County,6001,94619,37.80258267883039,-122.10587823528257,614662.60,257691.00,49331
ff80393a-0f5c-f4cd-beec-25d0007cceb8,1970-09-12,,999-47-7039,S99966225,X78006404X,Mr.,Ignacio928,,Aparicio848,,,M,white,hispanic,M,Portsmouth  Saint John Parish  DM,324 Champlin Burg Suite 74,Oakland,California,Alameda County,6001,94607,37.81563644817159,-122.19583619640294,81103.03,103714.56,42268
b686b375-e5be-75f5-6fff-62c4307785dc,1960-02-12,,999-52-8758,S99944573,X67217371X,Mr.,Roosevelt595,Lucas404,Walker122,,,S,white,nonhispanic,M,Spring Valley  California  US,445 Funk Light,Oakland,California,Alameda County,6001,94618,37.81382542467618,-122.202682005586,197695.58,233448.30,33813
8823db5e-6164-3df1-0a63-a35d42088fa3,2021-08-31,,999-53-8064,,,,Moses679,Galen747,O'Hara248,,,,white,nonhispanic,M,Paramount  California  US,655 Koelpin Path Suite 67,Oakland,California,Alameda County,6001,94605,37.85743075401169,-122.20384680139175,8079.53,8990.15,133302
178826fe-73c2-9395-452b-96dceec97de0,1958-06-20,,999-99-5668,S99937975,X77191965X,Mr.,Reuben327,,Bergstrom287,,,W,asian,nonhispanic,M,Osaka  Osaka  JP,345 Hoppe Glen Suite 90,Oakland,California,Alameda County,6001,94601,37.715350843370125,-122.1685008933423,25709.43,325526.91,67322
30d7192c-fd1b-9935-a297-e1dd46879ef9,1949-11-04,,999-71-8960,S99916914,X50473536X,Mrs.,Harriette8,Kenyetta225,Lehner980,,Gislason620,M,asian,hispanic,F,Victorville  California  US,902 Rippin Extension Unit 13,Oakland,California,Alameda County,6001,94610,37.786878769793084,-122.21078104938768,283676.63,789075.20,367285
6e846541-c87b-147b-c796-747262cd167a,1984-10-10,,999-28-5895,S99944256,X3470064X,Mr.,Houston994,Ed239,Hessel84,,,M,black,nonhispanic,M,Orange  California  US,940 Bruen Trafficway Apt 44,Oakland,California,Alameda County,6001,94705,37.721796830926124,-122.12789621894798,7932.02,149932.15,3921
f09b1562-3c1a-1008-5bbd-2f1c0492a172,1989-02-15,,999-39-9171,S99944289,X76434673X,Mr.,Robby860,Lino542,Collier206,,,M,black,nonhispanic,M,East Los Angeles  California  US,452 Yost Drive,Oakland,California,Alameda County,6001,94605,37.81949229911148,-122.23382618653154,8032.02,175870.33,16856
4285caa0-fea5-45b7-e55d-bcd0177214cc,2021-05-02,,999-29-7039,,,,Cathey606,Hallie315,Kirlin939,,,,white,hispanic,F,San Francisco  California  US,617 Ullrich Boulevard Unit 85,Oakland,California,Alameda County,6001,94608,37.82525690036618,-122.15532857513902,750.00,15729.80,12027
e3daee88-b20c-314b-4882-8f5137bf700a,1947-06-02,2010-04-14,999-43-2522,S99966131,X31173059X,Mrs.,Gillian484,Serina556,Bogisich202,,Powlowski563,M,white,nonhispanic,F,Merced  California  US,346 Schaefer Track Suite 10,Oakland,California,Alameda County,6001,94705,37.877472465448484,-122.22738182766152,509678.57,1484790.68,536725
e46bdaf9-6ac9-dd37-3c57-0fe59384f0ec,2004-01-18,,999-20-9966,S99954878,X14930656X,Mr.,Frankie174,Roman389,Fadel536,,,,asian,nonhispanic,M,Rancho Palos Verdes  California  US,221 Ward Haven,Oakland,California,Alameda County,6001,94606,37.835362654700425,-122.25621335367484,4165.28,50215.97,40045
2408f11a-7fbb-d29f-c128-05c9f314cb88,1987-01-16,,999-33-9031,S99919513,X27840752X,Mrs.,Camellia58,Ling534,Prosacco716,,Hayes766,M,white,nonhispanic,F,Coachella  California  US,803 Cassin Bay,Oakland,California,Alameda County,6001,94618,37.75701861434827,-122.18394258092385,228174.60,583785.28,128133
ee068e40-ca7d-4ade-fe87-ba8b4677c53e,1995-12-20,,999-85-9377,S99927266,X21740128X,Mr.,Reid278,Jayson808,Considine820,,,M,white,nonhispanic,M,Watsonville  California  US,486 Huel Course,Oakland,California,Alameda County,6001,94609,37.77089562786193,-122.16409576835224,16200.00,1091472.12,6687
4f335bdf-fa9b-de03-57b7-b73cd6a5ca9d,1964-02-29,,999-76-8818,S99982398,X59424111X,Ms.,Ardella559,,Hayes766,,,S,white,nonhispanic,F,San Francisco  California  US,241 Yundt Byway,Oakland,California,Alameda County,6001,94611,37.74197781050591,-122.18295664954547,787854.09,213585.45,49331
9f0ceb78-88ff-7052-aacd-25ee9047937d,1958-09-27,,999-45-3075,S99922249,X57495006X,Mr.,Lee268,,Bahringer146,,,W,white,nonhispanic,M,San Francisco  California  US,1053 Mann Crossing,Oakland,California,Alameda County,6001,94603,37.72905885820342,-122.23234280355683,174714.02,1020789.99,32599
056fcd89-808e-53ef-6680-078ac3e1f2b1,2014-10-22,,999-90-2316,,,,Jimmie93,Merle11,Vandervort697,,,,asian,nonhispanic,M,West Covina  California  US,773 Hudson Corner,Oakland,California,Alameda County,6001,94601,37.78658906226896,-122.24067687343619,2200.00,44862.29,45647
4aa89a91-c56b-68c7-1a2b-817bf7fb57ef,2003-06-24,,999-56-8000,S99917247,X43024232X,Mr.,Warner493,Douglass930,Strosin214,,,,black,nonhispanic,M,Sacramento  California  US,171 Effertz Mission,Oakland,California,Alameda County,6001,94705,37.73188367069064,-122.24412272669294,115308.19,149347.32,72738
dc5a6721-6919-eb7c-5391-eca1e0206e20,1992-04-30,,999-21-4656,S99925136,X1020737X,Mrs.,Isabel214,Diana207,Correa904,,Apodaca347,M,white,hispanic,F,Wesley  Saint Andrew Parish  DM,1091 Nicolas Ramp Unit 12,Oakland,California,Alameda County,6001,94577,37.8828968480839,-122.27215992363458,11681.84,1019373.59,19868
